"ORIGIN NET (mindspore)","TARGET NET (pytorch)","shape of orig","shape of target","result of allclose","ratio of allclose","cosine similarity","mean & max diffs"
"NN_Conv2d_478_forward_output","NN_Conv2d_478_forward_output","(10, 32, 14, 14)","(10, 32, 14, 14)","False","2.02%","-0.14041","0.00325, 0.01167"
"NN_Conv2d_479_forward_input.0","NN_Conv2d_479_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","27.41%","0.39173","0.00463, 0.02227"
"NN_Conv2d_479_forward_output","NN_Conv2d_479_forward_output","(10, 32, 14, 14)","(10, 32, 14, 14)","False","2.02%","-0.14041","0.00325, 0.01167"
"NN_Conv2d_480_forward_input.0","NN_Conv2d_480_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","27.41%","0.39173","0.00463, 0.02227"
"NN_Conv2d_480_forward_output","NN_Conv2d_480_forward_output","(10, 32, 14, 14)","(10, 32, 14, 14)","False","2.02%","-0.14041","0.00325, 0.01167"
"NN_Conv2d_481_forward_input.0","NN_Conv2d_481_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","27.41%","0.39173","0.00463, 0.02227"
"NN_Conv2d_481_forward_output","NN_Conv2d_481_forward_output","(10, 32, 14, 14)","(10, 32, 14, 14)","False","2.02%","-0.14041","0.00325, 0.01167"
"NN_Conv2d_482_forward_input.0","NN_Conv2d_482_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","27.41%","0.39173","0.00463, 0.02227"
"NN_Conv2d_482_forward_output","NN_Conv2d_482_forward_output","(10, 32, 14, 14)","(10, 32, 14, 14)","False","2.02%","-0.14041","0.00325, 0.01167"
"Functional_concat_32_forward_input.0.0","Torch_cat_32_forward_input.0.0","(10, 704, 14, 14)","(10, 704, 14, 14)","False","1.24%","0.04670","0.01305, 0.14673"
"Functional_concat_32_forward_input.0.1","Torch_cat_32_forward_input.0.1","(10, 32, 14, 14)","(10, 32, 14, 14)","False","2.02%","-0.14041","0.00325, 0.01167"
"","Torch_cat_32_forward_output","","(10, 736, 14, 14)","False","0.00%","nan","nan, nan"
"Functional_concat_32_forward_output","","(10, 736, 14, 14)","","False","0.00%","nan","nan, nan"
"NN_BatchNorm2d_483_forward_input.0","NN_BatchNorm2d_483_forward_input.0","(10, 736, 14, 14)","(10, 736, 14, 14)","False","1.28%","0.04647","0.01263, 0.14673"
"NN_BatchNorm2d_483_forward_output","NN_BatchNorm2d_483_forward_output","(10, 736, 14, 14)","(10, 736, 14, 14)","False","1.28%","0.04647","0.01263, 0.14673"
"NN_BatchNorm2d_484_forward_input.0","NN_BatchNorm2d_484_forward_input.0","(10, 736, 14, 14)","(10, 736, 14, 14)","False","1.28%","0.04647","0.01263, 0.14673"
"NN_BatchNorm2d_484_forward_output","NN_BatchNorm2d_484_forward_output","(10, 736, 14, 14)","(10, 736, 14, 14)","False","1.28%","0.04647","0.01263, 0.14673"
"NN_BatchNorm2d_485_forward_input.0","NN_BatchNorm2d_485_forward_input.0","(10, 736, 14, 14)","(10, 736, 14, 14)","False","1.28%","0.04647","0.01263, 0.14673"
"NN_BatchNorm2d_485_forward_output","NN_BatchNorm2d_485_forward_output","(10, 736, 14, 14)","(10, 736, 14, 14)","False","1.28%","0.04647","0.01263, 0.14673"
"NN_BatchNorm2d_486_forward_input.0","NN_BatchNorm2d_486_forward_input.0","(10, 736, 14, 14)","(10, 736, 14, 14)","False","1.28%","0.04647","0.01263, 0.14673"
"NN_BatchNorm2d_486_forward_output","NN_BatchNorm2d_486_forward_output","(10, 736, 14, 14)","(10, 736, 14, 14)","False","1.28%","0.04647","0.01263, 0.14673"
"NN_BatchNorm2d_487_forward_input.0","NN_BatchNorm2d_487_forward_input.0","(10, 736, 14, 14)","(10, 736, 14, 14)","False","1.28%","0.04647","0.01263, 0.14673"
"NN_BatchNorm2d_487_forward_output","NN_BatchNorm2d_487_forward_output","(10, 736, 14, 14)","(10, 736, 14, 14)","False","1.28%","0.04647","0.01263, 0.14673"
"NN_BatchNorm2d_488_forward_input.0","NN_BatchNorm2d_488_forward_input.0","(10, 736, 14, 14)","(10, 736, 14, 14)","False","1.28%","0.04647","0.01263, 0.14673"
"NN_BatchNorm2d_488_forward_output","NN_BatchNorm2d_488_forward_output","(10, 736, 14, 14)","(10, 736, 14, 14)","False","1.28%","0.04647","0.01263, 0.14673"
"NN_BatchNorm2d_489_forward_input.0","NN_BatchNorm2d_489_forward_input.0","(10, 736, 14, 14)","(10, 736, 14, 14)","False","1.28%","0.04647","0.01263, 0.14673"
"NN_BatchNorm2d_489_forward_output","NN_BatchNorm2d_489_forward_output","(10, 736, 14, 14)","(10, 736, 14, 14)","False","1.28%","0.04647","0.01263, 0.14673"
"Functional_relu_68_forward_input.0","Functional_relu_68_forward_input.0","(10, 736, 14, 14)","(10, 736, 14, 14)","False","1.28%","0.04647","0.01263, 0.14673"
"Functional_relu_68_forward_output","Functional_relu_68_forward_output","(10, 736, 14, 14)","(10, 736, 14, 14)","False","26.94%","0.32173","0.00837, 0.10097"
"NN_Conv2d_483_forward_input.0","NN_Conv2d_483_forward_input.0","(10, 736, 14, 14)","(10, 736, 14, 14)","False","26.94%","0.32173","0.00837, 0.10097"
"NN_Conv2d_483_forward_output","NN_Conv2d_483_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
"NN_Conv2d_484_forward_input.0","NN_Conv2d_484_forward_input.0","(10, 736, 14, 14)","(10, 736, 14, 14)","False","26.94%","0.32173","0.00837, 0.10097"
"NN_Conv2d_484_forward_output","NN_Conv2d_484_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
